City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,90,AU,1570733870,70,-42.78,147.06,48.2,5.82
Constitucion,20,MX,1570733871,33,23.99,-104.67,78.01,1.03
Albany,20,US,1570733872,37,42.65,-73.75,70.0,8.05
Rikitea,82,PF,1570733872,71,-23.12,-134.97,68.68,11.07
Puerto Ayora,33,EC,1570733873,57,-0.74,-90.35,75.2,21.92
Norman Wells,75,CA,1570733873,74,65.28,-126.83,37.4,10.29
Bonavista,0,CA,1570733874,73,48.65,-53.11,53.01,1.99
Inyonga,100,TZ,1570733875,57,-6.72,32.06,74.08,6.19
Coquimbo,40,CL,1570733878,67,-29.95,-71.34,60.8,13.87
Klaksvik,100,FO,1570733879,93,62.23,-6.59,44.6,11.41
Ushuaia,75,AR,1570733879,84,-54.81,-68.31,32.0,29.97
Talnakh,73,RU,1570733880,63,69.49,88.39,15.4,12.3
Torbay,40,CA,1570733880,66,47.66,-52.73,57.0,8.05
Victoria,75,BN,1570733882,94,5.28,115.24,77.0,1.12
Zemetchino,100,RU,1570733883,82,53.5,42.62,49.96,19.51
Bud,75,NO,1570733884,76,62.91,6.91,50.0,3.36
Yellowknife,75,CA,1570733884,80,62.45,-114.38,37.0,5.82
Busselton,60,AU,1570733885,73,-33.64,115.35,61.0,11.54
Bethel,90,US,1570733886,93,60.79,-161.76,37.4,8.05
Ribeira Grande,40,PT,1570733886,68,38.52,-28.7,71.6,9.17
Provideniya,0,RU,1570733888,73,64.42,-173.23,26.38,2.42
Chokurdakh,96,RU,1570733890,89,70.62,147.9,11.08,5.02
Mataura,100,NZ,1570733891,91,-46.19,168.86,43.0,11.99
Punta Arenas,40,CL,1570733892,60,-53.16,-70.91,39.2,31.09
Kapaa,40,US,1570733892,94,22.08,-159.32,81.0,6.93
Salinopolis,95,BR,1570733893,76,-0.61,-47.36,80.92,21.74
Hithadhoo,100,MV,1570733894,79,-0.6,73.08,82.18,14.88
Bluff,23,AU,1570733894,93,-23.58,149.07,60.76,8.37
Hermanus,71,ZA,1570733896,77,-34.42,19.24,61.0,1.99
Butaritari,66,KI,1570733897,61,3.07,172.79,84.16,7.05
Jutai,64,BR,1570733898,39,-1.71,-47.89,94.06,5.76
Kutum,21,SD,1570733900,31,14.2,24.66,82.9,11.41
Russell,90,US,1570733900,80,38.9,-98.86,41.0,28.86
Barrow,67,AR,1570733900,35,-38.31,-60.23,76.96,13.12
Berlevag,75,NO,1570733901,86,70.86,29.09,39.2,10.29
Hilo,90,US,1570733901,83,19.71,-155.08,78.01,8.05
Denpasar,75,ID,1570733902,94,-8.65,115.22,78.8,6.93
Pevek,55,RU,1570733902,80,69.7,170.27,20.8,14.03
Upernavik,0,GL,1570733902,58,72.79,-56.15,28.72,4.61
Huarmey,44,PE,1570733903,47,-10.07,-78.15,73.72,10.43
Roald,75,NO,1570733903,81,62.58,6.12,51.01,13.87
Hobart,90,AU,1570733903,70,-42.88,147.33,48.2,5.82
Khatanga,56,RU,1570733904,88,71.98,102.47,13.78,9.84
Griffith,17,AU,1570733904,76,-34.29,146.06,48.2,3.36
Oyama,90,JP,1570733904,93,36.31,139.8,64.0,4.7
Broome,20,GB,1570733905,71,52.47,1.45,59.0,9.17
Ewa Beach,75,US,1570733905,66,21.32,-158.01,84.99,5.82
Ancud,90,CL,1570733906,100,-41.87,-73.83,53.6,12.75
Santa Isabel do Rio Negro,25,BR,1570733907,44,-0.41,-65.02,92.8,1.72
Mar del Plata,84,AR,1570733907,57,-46.43,-67.52,49.06,20.88
Saint-Philippe,1,CA,1570733908,45,45.36,-73.48,66.99,12.75
Shache,0,CN,1570733908,21,38.42,77.24,62.56,7.73
Vaini,100,IN,1570733908,94,15.34,74.49,70.12,4.12
Lulea,90,SE,1570733908,96,65.58,22.15,33.8,3.36
